,relations,entity1,chunk1,entity2,chunk2
0,DOSAGE-DRUG,DOSAGE,1 unit,DRUG,Advil
1,DRUG-DURATION,DRUG,Advil,DURATION,for 5 days
2,DOSAGE-DRUG,DOSAGE,1 unit,DRUG,Metformin
3,DRUG-FREQUENCY,DRUG,Metformin,FREQUENCY,daily
4,DOSAGE-DRUG,DOSAGE,40 units,DRUG,insulin glargine
5,DRUG-FREQUENCY,DRUG,insulin glargine,FREQUENCY,at night
6,DOSAGE-DRUG,DOSAGE,12 units,DRUG,insulin lispro
7,DRUG-FREQUENCY,DRUG,insulin lispro,FREQUENCY,with meals
8,DRUG-STRENGTH,DRUG,metformin,STRENGTH,1000 mg
9,DRUG-FREQUENCY,DRUG,metformin,FREQUENCY,two times a day
10,OVERLAP,TREATMENT,Advil,DURATION,5 days
11,OVERLAP,TREATMENT,Metformin,FREQUENCY,daily
12,BEFORE,CLINICAL_DEPT,the endocrinology service,OCCURRENCE,discharged
13,OVERLAP,CLINICAL_DEPT,the endocrinology service,TREATMENT,insulin glargine
14,OVERLAP,CLINICAL_DEPT,the endocrinology service,DATE,night
15,OVERLAP,CLINICAL_DEPT,the endocrinology service,TREATMENT,insulin lispro
16,OVERLAP,CLINICAL_DEPT,the endocrinology service,TREATMENT,metformin
17,OVERLAP,CLINICAL_DEPT,the endocrinology service,FREQUENCY,two times a day
18,BEFORE,OCCURRENCE,discharged,TREATMENT,insulin glargine
19,BEFORE,OCCURRENCE,discharged,TREATMENT,insulin lispro
20,BEFORE,OCCURRENCE,discharged,TREATMENT,metformin
21,BEFORE,OCCURRENCE,discharged,FREQUENCY,two times a day
22,OVERLAP,TREATMENT,insulin glargine,DATE,night
23,OVERLAP,TREATMENT,insulin glargine,TREATMENT,insulin lispro
24,OVERLAP,TREATMENT,insulin glargine,TREATMENT,metformin
25,OVERLAP,TREATMENT,insulin glargine,FREQUENCY,two times a day
26,OVERLAP,DATE,night,TREATMENT,insulin lispro
27,OVERLAP,DATE,night,TREATMENT,metformin
28,OVERLAP,DATE,night,FREQUENCY,two times a day
29,OVERLAP,TREATMENT,insulin lispro,TREATMENT,metformin
30,OVERLAP,TREATMENT,insulin lispro,FREQUENCY,two times a day
31,OVERLAP,TREATMENT,metformin,FREQUENCY,two times a day
32,DURATION-DRUG,DURATION,five-day,DRUG,amoxicillin
33,DRUG-DURATION,DRUG,dapagliflozin,DURATION,for six months
34,DRUG-ROUTE,DRUG,insulin,ROUTE,drip
41,BEFORE,PROBLEM,gestational diabetes mellitus,OCCURRENCE,presentation
42,OVERLAP,PROBLEM,gestational diabetes mellitus,PROBLEM,subsequent type two diabetes mellitus
43,OVERLAP,PROBLEM,gestational diabetes mellitus,PROBLEM,T2DM
44,OVERLAP,PROBLEM,gestational diabetes mellitus,PROBLEM,HTG-induced pancreatitis
45,OVERLAP,PROBLEM,gestational diabetes mellitus,DURATION,three years
46,OVERLAP,PROBLEM,gestational diabetes mellitus,EVIDENTIAL,presentation
47,OVERLAP,PROBLEM,gestational diabetes mellitus,PROBLEM,obesity
48,OVERLAP,PROBLEM,gestational diabetes mellitus,PROBLEM,a body mass index ( BMI
49,BEFORE,PROBLEM,gestational diabetes mellitus,OCCURRENCE,presented
50,OVERLAP,PROBLEM,gestational diabetes mellitus,DURATION,a one-week
51,BEFORE,PROBLEM,gestational diabetes mellitus,PROBLEM,polyuria
52,OVERLAP,PROBLEM,gestational diabetes mellitus,PROBLEM,polydipsia
53,OVERLAP,PROBLEM,gestational diabetes mellitus,PROBLEM,poor appetite
54,OVERLAP,PROBLEM,gestational diabetes mellitus,PROBLEM,vomiting
55,OVERLAP,DURATION,eight years,PROBLEM,subsequent type two diabetes mellitus
56,OVERLAP,DURATION,eight years,PROBLEM,T2DM
57,OVERLAP,DURATION,eight years,PROBLEM,HTG-induced pancreatitis
58,OVERLAP,DURATION,eight years,DURATION,three years
59,OVERLAP,DURATION,eight years,EVIDENTIAL,presentation
60,OVERLAP,DURATION,eight years,PROBLEM,an acute hepatitis
61,OVERLAP,DURATION,eight years,PROBLEM,obesity
62,OVERLAP,DURATION,eight years,PROBLEM,a body mass index ( BMI
63,BEFORE,DURATION,eight years,OCCURRENCE,presented
64,OVERLAP,DURATION,eight years,DURATION,a one-week
65,BEFORE,DURATION,eight years,PROBLEM,polyuria
66,OVERLAP,DURATION,eight years,PROBLEM,polydipsia
67,OVERLAP,DURATION,eight years,PROBLEM,poor appetite
68,OVERLAP,DURATION,eight years,PROBLEM,vomiting
69,OVERLAP,OCCURRENCE,presentation,PROBLEM,subsequent type two diabetes mellitus
70,OVERLAP,OCCURRENCE,presentation,PROBLEM,T2DM
71,OVERLAP,OCCURRENCE,presentation,PROBLEM,HTG-induced pancreatitis
72,OVERLAP,OCCURRENCE,presentation,EVIDENTIAL,presentation
73,BEFORE,OCCURRENCE,presentation,PROBLEM,an acute hepatitis
74,BEFORE,OCCURRENCE,presentation,PROBLEM,obesity
75,OVERLAP,OCCURRENCE,presentation,PROBLEM,a body mass index ( BMI
76,BEFORE,OCCURRENCE,presentation,OCCURRENCE,presented
77,OVERLAP,OCCURRENCE,presentation,DURATION,a one-week
78,BEFORE,OCCURRENCE,presentation,PROBLEM,polyuria
79,BEFORE,OCCURRENCE,presentation,PROBLEM,polydipsia
80,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,PROBLEM,T2DM
81,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,PROBLEM,HTG-induced pancreatitis
82,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,DURATION,three years
83,BEFORE,PROBLEM,subsequent type two diabetes mellitus,EVIDENTIAL,presentation
84,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,PROBLEM,an acute hepatitis
85,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,PROBLEM,obesity
86,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,PROBLEM,a body mass index ( BMI
87,BEFORE,PROBLEM,subsequent type two diabetes mellitus,OCCURRENCE,presented
88,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,DURATION,a one-week
89,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,PROBLEM,polyuria
90,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,PROBLEM,polydipsia
91,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,PROBLEM,poor appetite
92,OVERLAP,PROBLEM,subsequent type two diabetes mellitus,PROBLEM,vomiting
93,OVERLAP,PROBLEM,T2DM,PROBLEM,HTG-induced pancreatitis
94,OVERLAP,PROBLEM,T2DM,DURATION,three years
95,OVERLAP,PROBLEM,T2DM,EVIDENTIAL,presentation
96,OVERLAP,PROBLEM,T2DM,PROBLEM,an acute hepatitis
97,OVERLAP,PROBLEM,T2DM,PROBLEM,obesity
98,OVERLAP,PROBLEM,T2DM,PROBLEM,a body mass index ( BMI
99,BEFORE,PROBLEM,T2DM,OCCURRENCE,presented
100,OVERLAP,PROBLEM,T2DM,DURATION,a one-week
101,OVERLAP,PROBLEM,T2DM,PROBLEM,polyuria
102,OVERLAP,PROBLEM,T2DM,PROBLEM,polydipsia
103,OVERLAP,PROBLEM,T2DM,PROBLEM,poor appetite
104,OVERLAP,PROBLEM,T2DM,PROBLEM,vomiting
105,OVERLAP,PROBLEM,HTG-induced pancreatitis,DURATION,three years
106,OVERLAP,PROBLEM,HTG-induced pancreatitis,EVIDENTIAL,presentation
107,OVERLAP,PROBLEM,HTG-induced pancreatitis,PROBLEM,an acute hepatitis
108,OVERLAP,PROBLEM,HTG-induced pancreatitis,PROBLEM,obesity
109,OVERLAP,PROBLEM,HTG-induced pancreatitis,PROBLEM,a body mass index ( BMI
110,BEFORE,PROBLEM,HTG-induced pancreatitis,OCCURRENCE,presented
111,OVERLAP,PROBLEM,HTG-induced pancreatitis,DURATION,a one-week
112,OVERLAP,PROBLEM,HTG-induced pancreatitis,PROBLEM,polyuria
113,OVERLAP,PROBLEM,HTG-induced pancreatitis,PROBLEM,polydipsia
114,OVERLAP,PROBLEM,HTG-induced pancreatitis,PROBLEM,poor appetite
115,OVERLAP,PROBLEM,HTG-induced pancreatitis,PROBLEM,vomiting
116,OVERLAP,DURATION,three years,EVIDENTIAL,presentation
117,OVERLAP,DURATION,three years,PROBLEM,an acute hepatitis
118,OVERLAP,DURATION,three years,PROBLEM,obesity
119,OVERLAP,DURATION,three years,PROBLEM,a body mass index ( BMI
120,BEFORE,DURATION,three years,OCCURRENCE,presented
121,OVERLAP,DURATION,three years,DURATION,a one-week
122,BEFORE,DURATION,three years,PROBLEM,polyuria
123,OVERLAP,DURATION,three years,PROBLEM,polydipsia
124,OVERLAP,DURATION,three years,PROBLEM,poor appetite
125,OVERLAP,DURATION,three years,PROBLEM,vomiting
126,BEFORE,EVIDENTIAL,presentation,PROBLEM,an acute hepatitis
127,OVERLAP,EVIDENTIAL,presentation,PROBLEM,obesity
128,OVERLAP,EVIDENTIAL,presentation,PROBLEM,a body mass index ( BMI
129,OVERLAP,EVIDENTIAL,presentation,DURATION,a one-week
130,BEFORE,EVIDENTIAL,presentation,PROBLEM,polyuria
131,BEFORE,EVIDENTIAL,presentation,PROBLEM,polydipsia
132,BEFORE,EVIDENTIAL,presentation,PROBLEM,poor appetite
133,BEFORE,EVIDENTIAL,presentation,PROBLEM,vomiting
134,OVERLAP,PROBLEM,an acute hepatitis,PROBLEM,obesity
135,OVERLAP,PROBLEM,an acute hepatitis,PROBLEM,a body mass index ( BMI
136,BEFORE,PROBLEM,an acute hepatitis,OCCURRENCE,presented
137,OVERLAP,PROBLEM,an acute hepatitis,DURATION,a one-week
138,OVERLAP,PROBLEM,an acute hepatitis,PROBLEM,polyuria
